cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,knownRansomwareCampaignUse,notes,cwes,cvss_score
CVE-2025-24984,Microsoft,Windows,Microsoft Windows NTFS Information Disclosure Vulnerability,2025-03-11,Microsoft Windows New Technology File System (NTFS) contains an insertion of sensitive Information into log file vulnerability that allows an unauthorized attacker to disclose information with a physical attack. An attacker who successfully exploited this vulnerability could potentially read portions of heap memory.,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-04-01,Unknown,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-24984 ; https://nvd.nist.gov/vuln/detail/CVE-2025-24984,CWE-532,10.0
CVE-2022-20821,Cisco,IOS XR,Cisco IOS XR Open Port Vulnerability,2022-05-23,Cisco IOS XR software health check opens TCP port 6379 by default on activation. An attacker can connect to the Redis instance on the open port and allow access to the Redis instance that is running within the NOSi container.,Apply updates per vendor instructions.,2022-06-13,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2022-20821,CWE-923,10.0
CVE-2020-0787,Microsoft,Windows,Microsoft Windows Background Intelligent Transfer Service (BITS) Improper Privilege Management Vulnerability,2022-01-28,Microsoft Windows BITS is vulnerable to to a privilege elevation vulnerability if it improperly handles symbolic links. An actor can exploit this vulnerability to execute arbitrary code with system-level privileges.,Apply updates per vendor instructions.,2022-07-28,Known,https://nvd.nist.gov/vuln/detail/CVE-2020-0787,"CWE-269, CWE-59",10.0
CVE-2021-40870,Aviatrix,Aviatrix Controller,Aviatrix Controller Unrestricted Upload of File,2022-01-18,"Unrestricted upload of a file with a dangerous type is possible, which allows an unauthenticated user to execute arbitrary code via directory traversal.",Apply updates per vendor instructions.,2022-02-01,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-40870,"CWE-25, CWE-96",10.0
CVE-2020-16010,Google,Chrome for Android UI,Google Chrome for Android UI Heap Buffer Overflow Vulnerability,2021-11-03,"Google Chrome for Android UI contains a heap buffer overflow vulnerability that allows a remote attacker, who has compromised the renderer process, to potentially perform a sandbox escape via a crafted HTML page.",Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2020-16010,CWE-787,10.0
CVE-2019-0863,Microsoft,Windows,Microsoft Windows Error Reporting (WER) Privilege Escalation Vulnerability,2021-11-03,"Microsoft Windows Error Reporting (WER) contains a privilege escalation vulnerability due to the way it handles files, allowing for code execution in kernel mode.",Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2019-0863,,10.0
CVE-2020-24557,Trend Micro,"Apex One, OfficeScan, and Worry-Free Business Security",Trend Micro Multiple Products Improper Access Control Vulnerability,2021-11-03,"Trend Micro Apex One, OfficeScan, and Worry-Free Business Security on Microsoft Windows contain an improper access control vulnerability that may allow an attacker to manipulate a particular product folder to disable the security temporarily, abuse a specific Windows function, and attain privilege escalation.",Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2020-24557,,10.0
CVE-2019-16759,vBulletin,vBulletin,vBulletin PHP Module Remote Code Execution Vulnerability,2021-11-03,The PHP module within vBulletin contains an unspecified vulnerability that allows for remote code execution via the widgetConfig[code] parameter in an ajax/render/widget_php routestring request.,Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2019-16759,CWE-94,10.0
CVE-2022-43769,Hitachi Vantara,Pentaho Business Analytics (BA) Server,Hitachi Vantara Pentaho BA Server Special Element Injection Vulnerability,2025-03-03,"Hitachi Vantara Pentaho BA Server contains a special element injection vulnerability that allows an attacker to inject Spring templates into properties files, allowing for arbitrary command execution.","Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-03-24,Unknown,https://support.pentaho.com/hc/en-us/articles/14455561548301--Resolved-Pentaho-BA-Server-Failure-to-Sanitize-Special-Elements-into-a-Different-Plane-Special-Element-Injection-Versions-before-9-4-0-1-and-9-3-0-2-including-8-3-x-Impacted-CVE-2022-43769 ; https://nvd.nist.gov/vuln/detail/CVE-2022-43769,CWE-74,9.9
CVE-2024-41713,Mitel,MiCollab,Mitel MiCollab Path Traversal Vulnerability,2025-01-07,"Mitel MiCollab contains a path traversal vulnerability that could allow an attacker to gain unauthorized and unauthenticated access. This vulnerability can be chained with CVE-2024-55550, which allows an unauthenticated, remote attacker to read arbitrary files on the server.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-28,Unknown,https://www.mitel.com/support/security-advisories/mitel-product-security-advisory-misa-2024-0029 ; https://nvd.nist.gov/vuln/detail/CVE-2024-41713 ,CWE-22,9.9
